kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
PKACG	AGC	52	890	1	612	111	10819	5.694786921753215	2.509641862533754	6.410102986200521e-20	1.9422612048187578e-17	19.19313499294931	16.711692364447003	0.15926220337985045	-2.65052417244623	0.0151139219501259	0.051455262369529756	1.8206228248545908	1.2885702029971986	upregulated set	5.694786921753215	2.509641862533754	6.410102986200521e-20	1.9422612048187578e-17	19.19313499294931	16.711692364447003
ZAK	TKL	31	890	22	612	299	10819	1.2603397091428357	0.3338126469315375	0.12822085393047686	0.16054098653278714	0.8920413351105376	0.7944140725886639	1.3007301025203837	0.3793216383430677	0.13978643502477855	0.25211482031254706	0.8545349707914777	0.5984016240150355	downregulated set	0.7687989983950795	-0.3793216383430677	0.13978643502477855	0.25211482031254706	0.8545349707914777	0.5984016240150355
P38B	CMGC	111	890	54	612	1163	10819	1.1602200817336026	0.21439849561965493	0.06491294294376408	0.0889982882894141	1.1876687009094817	1.0506183460922875	0.8208234282535027	-0.28485618540587393	0.07294300058625049	0.16371651242691776	1.1370163754992362	0.7859075154919372	upregulated set	1.1602200817336026	0.21439849561965493	0.06491294294376408	0.0889982882894141	1.1876687009094817	1.0506183460922875
P38A	CMGC	83	890	40	612	987	10819	1.0222521999476337	0.031751167633294254	0.4383343777557585	0.45329459542660355	0.35819446709611624	0.3436194589479206	0.7164378753865612	-0.4810864856651597	0.01482314259502676	0.051038775071512596	1.829059713563531	1.2920997572113946	upregulated set	1.0222521999476337	0.031751167633294254	0.4383343777557585	0.45329459542660355	0.35819446709611624	0.3436194589479206
P38D	CMGC	85	890	62	612	1131	10819	0.9135944128195194	-0.13037426710935138	0.21559006437815112	0.24837942778167219	0.6663712577949988	0.6048843777824517	0.9690914974890634	-0.04529520969906956	0.4321731233559203	0.4938751857381513	0.3643422451833611	0.306382793979616	downregulated set	1.0318943078037741	0.04529520969906956	0.4321731233559203	0.4938751857381513	0.3643422451833611	0.306382793979616
PKACA	AGC	77	890	2	612	260	10819	3.6000993949870352	1.8480367384092142	4.870475245792997e-19	4.9191799982509266e-17	18.31242865961589	16.30810728583325	0.13598541980894924	-2.8784761191245787	0.00006041507414455518	0.0005720552333062568	4.2188546871899675	3.2425620370075685	upregulated set	3.6000993949870352	1.8480367384092142	4.870475245792997e-19	4.9191799982509266e-17	18.31242865961589	16.30810728583325
PKACB	AGC	58	890	10	612	205	10819	3.4393093998355715	1.7821189063648935	6.916759220768936e-14	2.6197225548662344e-12	13.160097342278737	11.581744700768375	0.8623465646421171	-0.21366031071420788	0.39419450638705184	0.4750784368901054	0.4042894324726435	0.32323468111976006	upregulated set	3.4393093998355715	1.7821189063648935	6.916759220768936e-14	2.6197225548662344e-12	13.160097342278737	11.581744700768375
TBK1	Other	68	890	71	612	645	10819	1.2815817437505443	0.35792550168249027	0.028999848553333887	0.04483139852887841	1.5376042701225314	1.3484177129767025	1.9459618989714749	0.9604834630979412	2.5016755189663094e-7	0.0000037900384112339588	6.601769021365656	5.4213563885273315	downregulated set	0.5138846760198867	-0.9604834630979412	2.5016755189663094e-7	0.0000037900384112339588	6.601769021365656	5.4213563885273315
AKT2	AGC	8	890	3	612	18	10819	5.402746566791511	2.433693009300455	0.0004898930176627893	0.0012579456301002132	3.309898750403092	2.900338129206913	2.946350762527233	1.5589291931827194	0.09927633681048631	0.19607165683058214	1.0031542562106048	0.7075851813027415	upregulated set	5.402746566791511	2.433693009300455	0.0004898930176627893	0.0012579456301002132	3.309898750403092	2.900338129206913
AKT3	AGC	12	890	6	612	55	10819	2.6522574055158326	1.4072207979392641	0.0042165365240624895	0.008086142827790724	2.3750441334182026	2.09225859187032	1.9285204991087344	0.9474944811003723	0.10679347892278782	0.20351210134342584	0.9714552656062838	0.6914097614244303	upregulated set	2.6522574055158326	1.4072207979392641	0.0042165365240624895	0.008086142827790724	2.3750441334182026	2.09225859187032
P38G	CMGC	70	890	52	612	958	10819	0.8882386057094602	-0.1709808180484465	0.17366939469241757	0.20815444383864118	0.760276709401569	0.6816143130308703	0.9595630875871574	-0.059550433691212386	0.4155468621143565	0.48708035239559383	0.38137999279427415	0.3123993884291965	downregulated set	1.0421409628360363	0.059550433691212386	0.4155468621143565	0.48708035239559383	0.38137999279427415	0.3123993884291965
AKT1	AGC	11	890	1	612	11	10819	12.156179775280899	3.603618010742767	1.489335852226642e-7	7.648623105502923e-7	6.827007355759167	6.116416738899006	1.6071004159239455	0.6844600752665786	0.48347325749262177	0.5194765851782426	0.31562754318302405	0.2844340230000801	upregulated set	12.156179775280899	3.603618010742767	1.489335852226642e-7	7.648623105502923e-7	6.827007355759167	6.116416738899006
DRAK1	CAMK	54	890	21	612	301	10819	2.180842883272985	1.124885836146534	6.179468344892957e-7	0.0000026748270121465227	6.2090488881493044	5.572704299661257	1.2333561331509348	0.30258943992293397	0.20294519020671634	0.3153456032442823	0.6926212369874202	0.5012132198476332	upregulated set	2.180842883272985	1.124885836146534	6.179468344892957e-7	0.0000026748270121465227	6.2090488881493044	5.572704299661257
PDK1	AGC	27	890	23	612	226	10819	1.4522869643034704	0.5383265504910484	0.04565026239444999	0.0655546422062481	1.3405567218288235	1.183396548624211	1.7990991381803458	0.8472746875457008	0.007561332725079754	0.02937286943204058	2.1214016510414955	1.5320536252296708	downregulated set	0.5558337385517427	-0.8472746875457008	0.007561332725079754	0.02937286943204058	2.1214016510414955	1.5320536252296708
PKG1	AGC	91	890	19	612	382	10819	2.8958438731690097	1.5339838229057148	4.325497114764692e-17	3.276564064434254e-15	16.3639639733338	14.484581336159458	0.8792774526913733	-0.1856096206882875	0.33758910205995024	0.4371346065135253	0.4716115815713236	0.35938481047916143	upregulated set	2.8958438731690097	1.5339838229057148	4.325497114764692e-17	3.276564064434254e-15	16.3639639733338	14.484581336159458
PKG2	AGC	62	890	11	612	226	10819	3.33488117728945	1.737635358714455	2.980759957698013e-14	1.2902432388321399e-12	13.525672996541902	11.889328408053853	0.8604387182601654	-0.21685564987401484	0.37867089948583443	0.4675011426861807	0.4217380687326911	0.33021732326911835	upregulated set	3.33488117728945	1.737635358714455	2.980759957698013e-14	1.2902432388321399e-12	13.525672996541902	11.889328408053853
DAPK1	CAMK	41	890	6	612	144	10819	3.461134519350811	1.7912450139185385	2.9360684100621653e-10	3.067685269823573e-9	9.532233829625728	8.51318919902238	0.7365876906318083	-0.4410708068172805	0.3012261622352361	0.40207721214659264	0.5211073112861805	0.39569053997699816	upregulated set	3.461134519350811	1.7912450139185385	2.9360684100621653e-10	3.067685269823573e-9	9.532233829625728	8.51318919902238
