kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
TYRO3	TAMR	2	20	2	14	39	240	0.6153846153846154	-0.7004397181410922	0.8574044029060938	1.000000000000512	0.06681429064937583	2.2237391378713108e-13	0.879120879120879	-0.18586654531133412	0.6936720212044599	1.0000000000001468	0.1588458221237373	6.37420455391676e-14	downregulated set	1.1375000000000002	0.18586654531133412	0.6936720212044599	1.0000000000001468	0.1588458221237373	6.37420455391676e-14
IRR	INSR	4	20	1	14	36	240	1.3333333333333335	0.415037499278844	0.3701374561142419	1.000000000000512	0.4316369641871602	2.2237391378713108e-13	0.47619047619047616	-1.070389327891398	0.8964457427105085	1.0000000000001468	0.0474759909367212	6.37420455391676e-14	upregulated set	1.3333333333333335	0.415037499278844	0.3701374561142419	1.000000000000512	0.4316369641871602	2.2237391378713108e-13
ABL	ABL	7	20	4	14	52	240	1.6153846153846152	0.6918777046376681	0.13869903567850658	0.6329685647708876	0.8579265584001056	0.19861785789029063	1.3186813186813187	0.3990959554098223	0.37260015802324536	1.0000000000001468	0.42875696525134643	6.37420455391676e-14	upregulated set	1.6153846153846152	0.6918777046376681	0.13869903567850658	0.6329685647708876	0.8579265584001056	0.19861785789029063
LYN	SRC	2	20	4	14	29	240	0.8275862068965517	-0.27301849440641596	0.7190053728475762	1.000000000000512	0.1432678642911979	2.2237391378713108e-13	2.3645320197044333	1.2415546784233422	0.09191851616213151	1.0000000000001468	1.0365969950660696	6.37420455391676e-14	downregulated set	0.4229166666666667	-1.2415546784233422	0.09191851616213151	1.0000000000001468	1.0365969950660696	6.37420455391676e-14
SRMS	FRK	2	20	4	14	53	240	0.45283018867924535	-1.142957953842043	0.9515794350916893	1.000000000000512	0.021554952219793838	2.2237391378713108e-13	1.2938005390835579	0.37161521898771516	0.3869886789715609	1.0000000000001468	0.4123017397151874	6.37420455391676e-14	downregulated set	0.7729166666666667	-0.37161521898771516	0.3869886789715609	1.0000000000001468	0.4123017397151874	6.37420455391676e-14
ACK	ACK	6	20	7	14	67	240	1.0746268656716418	0.10383581098453992	0.5106141580663001	1.000000000000512	0.2919071474541683	2.2237391378713108e-13	1.791044776119403	0.8408014051507462	0.07546436687125725	1.0000000000001468	1.1222580672344555	6.37420455391676e-14	downregulated set	0.5583333333333333	-0.8408014051507462	0.07546436687125725	1.0000000000001468	1.1222580672344555	6.37420455391676e-14
TRKC	NGFR	6	20	4	14	39	240	1.846153846153846	0.8845227825800639	0.10869017407026381	0.6055595412486127	0.9638097157108435	0.21784314869860114	1.758241758241758	0.8141334546886659	0.19662316664928894	1.0000000000001468	0.706365313791717	6.37420455391676e-14	upregulated set	1.846153846153846	0.8845227825800639	0.10869017407026381	0.6055595412486127	0.9638097157108435	0.21784314869860114
TRKB	NGFR	0	20	0	14	25	240	0.24	-2.0588936890535687	1.0000000000003728	1.000000000000512	1.6191058163426671e-13	2.2237391378713108e-13	0.3428571428571428	-1.5443205162238107	0.9999999999999482	1.0000000000001468	2.2517046344019836e-14	6.37420455391676e-14	downregulated set	2.916666666666667	1.5443205162238107	0.9999999999999482	1.0000000000001468	2.2517046344019836e-14	6.37420455391676e-14
TRKA	NGFR	3	20	2	14	43	240	0.8372093023255813	-0.2563397532597857	0.7240021202954775	1.000000000000512	0.1402601619364477	2.2237391378713108e-13	0.7973421926910298	-0.3267290811511837	0.7463569153851435	1.0000000000001468	0.12705343886304277	6.37420455391676e-14	upregulated set	0.8372093023255813	-0.2563397532597857	0.7240021202954775	1.000000000000512	0.1402601619364477	2.2237391378713108e-13
RET	RETR	5	20	2	14	51	240	1.1764705882352942	0.23446525363702297	0.43858242710899836	1.000000000000512	0.3579487733937552	2.2237391378713108e-13	0.6722689075630252	-0.5728896684205813	0.8307038712465135	1.0000000000001468	0.08055376563072868	6.37420455391676e-14	upregulated set	1.1764705882352942	0.23446525363702297	0.43858242710899836	1.000000000000512	0.3579487733937552	2.2237391378713108e-13
