kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
TYRO3	TAMR	2	14	4	28	38	268	1.0075187969924813	0.010806754956582912	0.6170237438445	1.0000000000004792	0.20969812345097696	2.081018672821495e-13	1.0075187969924813	0.010806754956582912	0.5847961165908065	1.0000000000004994	0.232995520025544	2.1687724722778012e-13	upregulated set	1.0075187969924813	0.010806754956582912	0.6170237438445	1.0000000000004792	0.20969812345097696	2.081018672821495e-13
IRR	INSR	2	14	8	28	38	268	1.0075187969924813	0.010806754956582912	0.6170237438445	1.0000000000004792	0.20969812345097696	2.081018672821495e-13	2.0150375939849625	1.010806754956583	0.04900242631389764	0.7644378504968031	1.3097824157133378	0.11665781735887609	downregulated set	0.4962686567164179	-1.010806754956583	0.04900242631389764	0.7644378504968031	1.3097824157133378	0.11665781735887609
ABL	ABL	4	14	6	28	70	268	1.0938775510204082	0.1294512514552019	0.5245408144247782	1.0000000000004792	0.2802207137815059	2.081018672821495e-13	0.8204081632653062	-0.28558624782364184	0.7746332734846072	1.0000000000004994	0.11090385232747024	2.1687724722778012e-13	upregulated set	1.0938775510204082	0.1294512514552019	0.5245408144247782	1.0000000000004792	0.2802207137815059	2.081018672821495e-13
LYN	SRC	0	14	4	28	34	268	0.2815126050420168	-1.8287285728501712	1.000000000000207	1.0000000000004792	8.987531988275706e-14	2.081018672821495e-13	1.1260504201680672	0.1712714271498289	0.4975988224550025	1.0000000000004994	0.30312065605417443	2.1687724722778012e-13	downregulated set	0.8880597014925373	-0.1712714271498289	0.4975988224550025	1.0000000000004994	0.30312065605417443	2.1687724722778012e-13
SRMS	FRK	1	14	2	28	59	268	0.324455205811138	-1.623908780961673	0.9679265037735466	1.0000000000004792	0.01415761812279397	2.081018672821495e-13	0.324455205811138	-1.623908780961673	0.9899269993298421	1.0000000000004994	0.004396830611712774	2.1687724722778012e-13	upregulated set	0.324455205811138	-1.623908780961673	0.9679265037735466	1.0000000000004792	0.01415761812279397	2.081018672821495e-13
ACK	ACK	5	14	5	28	87	268	1.1001642036124795	0.13771886743880235	0.5030136265349078	1.0000000000004792	0.29842024983719495	2.081018672821495e-13	0.5500821018062397	-0.8622811325611976	0.9696082827145237	1.0000000000004994	0.013403683274892133	2.1687724722778012e-13	upregulated set	1.1001642036124795	0.13771886743880235	0.5030136265349078	1.0000000000004792	0.29842024983719495	2.081018672821495e-13
TRKC	NGFR	4	14	5	28	43	268	1.7807308970099667	0.8324695136980703	0.18910537525167428	1.0000000000004792	0.7232961263164471	2.081018672821495e-13	1.1129568106312293	0.15439760858543283	0.4884298595277806	1.0000000000004994	0.31119779388408886	2.1687724722778012e-13	upregulated set	1.7807308970099667	0.8324695136980703	0.18910537525167428	1.0000000000004792	0.7232961263164471	2.081018672821495e-13
TRKB	NGFR	1	14	2	28	25	268	0.7657142857142857	-0.3851219213745564	0.750458676340688	1.0000000000004792	0.12467321698675188	2.081018672821495e-13	0.7657142857142857	-0.3851219213745564	0.7530347408411064	1.0000000000004994	0.12318498740148903	2.1687724722778012e-13	upregulated set	0.7657142857142857	-0.3851219213745564	0.750458676340688	1.0000000000004792	0.12467321698675188	2.081018672821495e-13
TRKA	NGFR	2	14	10	28	46	268	0.8322981366459627	-0.26482768765684456	0.723183109998345	1.0000000000004792	0.14075172539797925	2.081018672821495e-13	2.080745341614907	1.057100407230518	0.021419654691538604	0.46690857415710835	1.6691875347538427	0.330768150753434	downregulated set	0.4805970149253731	-1.057100407230518	0.021419654691538604	0.46690857415710835	1.6691875347538427	0.330768150753434
RET	RETR	5	14	4	28	58	268	1.6502463054187193	0.7226813681599586	0.17993041673063986	1.0000000000004792	0.744895414188244	2.081018672821495e-13	0.6600985221674877	-0.5992467267274039	0.8794034218749351	1.0000000000004994	0.055811848815799946	2.1687724722778012e-13	upregulated set	1.6502463054187193	0.7226813681599586	0.17993041673063986	1.0000000000004792	0.744895414188244	2.081018672821495e-13
