kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
PKACG	AGC	9	241	5	251	167	12868	2.8775312445648122	1.5248315933910372	0.005268938897198015	0.0379309512518385	2.2782768378218976	1.4210062657010045	1.5349380919436026	0.6181804691152765	0.23359083161371985	0.40035440721626653	0.6315442071833982	0.39755538629214277	upregulated set	2.8775312445648122	1.5248315933910372	0.005268938897198015	0.0379309512518385	2.2782768378218976	1.4210062657010045
ZAK	TKL	5	241	12	251	335	12868	0.7969282219607358	-0.3274783060349955	0.40200947722622415	0.4906953775158799	0.39576370846145775	0.30918803317213467	1.8364274246298389	0.8769018820779879	0.03511811710069267	0.17350342198022878	1.4544687773530824	0.7606919552680647	downregulated set	0.544535540358512	-0.8769018820779879	0.03511811710069267	0.17350342198022878	1.4544687773530824	0.7606919552680647
P38B	CMGC	28	241	18	251	1359	12868	1.1001010628391026	0.13763606571298986	0.3282500789706438	0.44946558157008415	0.48379516075558676	0.34730355934008506	0.6790322155088256	-0.5584480726231124	0.046105311355547	0.19675928648916535	1.3362490407809742	0.7060647609977445	upregulated set	1.1001010628391026	0.13763606571298986	0.3282500789706438	0.44946558157008415	0.48379516075558676	0.34730355934008506
P38A	CMGC	22	241	13	251	1137	12868	1.0331329808004612	0.04702596416782618	0.4703330887664898	0.5195762193183834	0.32759446679251136	0.2843507345334734	0.5861654525258684	-0.7706201540491893	0.02190345977290501	0.13544384308551466	1.6594872805203305	0.8682407320465391	upregulated set	1.0331329808004612	0.04702596416782618	0.4703330887664898	0.5195762193183834	0.32759446679251136	0.2843507345334734
P38D	CMGC	24	241	18	251	1349	12868	0.9499337145388161	-0.0741012478043346	0.4479342415858524	0.5099550152711668	0.34878573736915225	0.2924681326886715	0.6840658123621157	-0.5477929648039885	0.04989574686020417	0.198926464455814	1.3019364722897642	0.7013074360682505	upregulated set	0.9499337145388161	-0.0741012478043346	0.4479342415858524	0.5099550152711668	0.34878573736915225	0.2924681326886715
PKACA	AGC	16	241	4	251	352	12868	2.4270086759713316	1.2791792657854797	0.0012912717998285238	0.015650214213921706	2.8889823334565894	1.8054797136263219	0.5825787758058675	-0.7794749519353306	0.1844562410118697	0.3366881989554007	0.734106645987936	0.4727721055256861	upregulated set	2.4270086759713316	1.2791792657854797	0.0012912717998285238	0.015650214213921706	2.8889823334565894	1.8054797136263219
PKACB	AGC	14	241	2	251	281	12868	2.6602087978618156	1.411539486259455	0.001132305572587969	0.014295357853923107	2.9460363553206235	1.8448049685299246	0.3648891976577675	-1.4544696535189596	0.08928497666076615	0.2724318817042385	1.0492216105651826	0.5647420698942865	upregulated set	2.6602087978618156	1.411539486259455	0.001132305572587969	0.014295357853923107	2.9460363553206235	1.8448049685299246
TBK1	Other	23	241	23	251	810	12868	1.516131345730239	0.6003947427078025	0.03327292267775318	0.11097801173119358	1.477909049234229	0.9547630602202333	1.455727706458118	0.5417405249869922	0.0487358243060461	0.19817073960964987	1.312151683984486	0.702960469750729	upregulated set	1.516131345730239	0.6003947427078025	0.03327292267775318	0.11097801173119358	1.477909049234229	0.9547630602202333
AKT2	AGC	3	241	0	251	27	12868	5.9326878745965885	2.5686858829804646	0.017282430469499628	0.07273022822581093	1.762395181691204	1.1382850496201675	0.9493876346465988	-0.074930835461502	0.5932690427120759	0.6052542758981784	0.22674831293018288	0.2180621337450903	upregulated set	5.9326878745965885	2.5686858829804646	0.017282430469499628	0.07273022822581093	1.762395181691204	1.1382850496201675
AKT3	AGC	3	241	1	251	95	12868	1.6861323433063986	0.7537177768129851	0.26909926333600853	0.4076853839540529	0.5700874911234414	0.3896748582851176	0.5396519186412245	-0.8898989416289815	0.4487455719666224	0.5239345510918606	0.3479998238285538	0.28072296086917387	upregulated set	1.6861323433063986	0.7537177768129851	0.26909926333600853	0.4076853839540529	0.5700874911234414	0.3896748582851176
P38G	CMGC	22	241	13	251	1109	12868	1.0592174924888407	0.08299885289836398	0.4232033278530003	0.4970178617808492	0.3734509258913201	0.30362800335224527	0.6009649409575405	-0.7346472653186512	0.028570519323898636	0.1545869170560944	1.544081865411668	0.8108272639155634	upregulated set	1.0592174924888407	0.08299885289836398	0.4232033278530003	0.4970178617808492	0.3734509258913201	0.30362800335224527
AKT1	AGC	4	241	0	251	21	12868	10.170322070737008	3.346293461644017	0.0010400491699797383	0.013701517326254815	2.9829461282530567	1.8632313357683443	1.220641244545627	0.28763924392320617	1.0000000000559326	1.0000000000713665	2.4291216016304656e-11	3.099406337039661e-11	upregulated set	10.170322070737008	3.346293461644017	0.0010400491699797383	0.013701517326254815	2.9829461282530567	1.8632313357683443
DRAK1	CAMK	18	241	6	251	339	12868	2.8350897807806703	1.5033944227287452	0.00010788889996650805	0.0027843207322489016	3.967023234939623	2.5552807388090106	0.9073793322286077	-0.14022229571322123	0.5085977941195092	0.5503754700650403	0.2936255277698309	0.25934093060974517	upregulated set	2.8350897807806703	1.5033944227287452	0.00010788889996650805	0.0027843207322489016	3.967023234939623	2.5552807388090106
